Organisation;Number of project
504;AJUNTAMENT DE SABADELL;2
505;AJUNTAMIENTO DE SANT CUGAT DEL VALLES;3
506;AKADEMIA GORNICZO-HUTNICZA IM. STANISLAWA STASZICA W KRAKOWIE;12
507;AKADEMIA MORSKA W GDYNI;1
508;AKADEMIA MORSKA W SZCZECINIE AM;1
509;AKADEMIA OBRONY NARODOWEJ;1
510;Akademia sztuk pieknych im jana matejki w krakowie;1
511;AKADEMIA SZTUK PIEKNYCH W WARSZAWIE;1
512;AKADEMIA WYCHOWANIA FIZYCZNEGO IM EUGENIUSZA PIASECKIEGO;2
513;AKADEMIE VED CESKE REPUBLIKY;1
514;AKADEMIEN DER WISSENSCHAFTEN SCHWEIZ VEREIN;1
515;AKADEMSKA RAZISKOVALNA MREZA SLOVENIJE;1
516;AKDENIZ KORUMA DERNEGI;1
517;AKEO PLUS;1
518;AKERSHUS FYLKESKOMMUNE;1
519;AKG GAZBETON ISLETMELERI SANAYI VETICARETCARET AS;1
520;AKIANI;1
521;AKIET BV;1
522;AKKA INFORMATIQUE ET SYSTEMES;1
523;AKKI ATLATHATO KORMANYZAS KUTATOINTEZET KFT;1
524;AKKREDITIERUNGSAGENTUR FUER STUDIENGAENGE DER INGENIEURWISSENSCHAFTEN, DER INFORMATIK, DER NATURWISSENSCHAFTEN UND DER MATHEMATIK EV;1
525;AKTIEBOLAGET LANDSKRONAHEM;1
526;AKTIEBOLAGET SKF;1
527;AKTIOS YPIRESIES YGEIAS KAI PERITHALPSIS ILIKIOMENON KAI CHRONOS PASCHONTON ANONYMI ETAIREIA;1
528;AKTOR TECHNICAL AE;1
529;AKTSIASELTS INTRAL;1
530;AKUT UMWELTSCHUTZ INGENIEURE BURKARD UND PARTNER;1
531;AKZO NOBEL CHEMICALS BV;1
532;Akzo Nobel Decorative Coatings bv;1
533;AKZO NOBEL PULP AND PERFORMANCE CHEMICALS AB;2
534;ALACRIS THERANOSTICS GMBH;4
535;ALAM MEDICAL;1
536;ALAVA REYES CONSULTORES SLU;1
537;ALBATROS MARINE TECHNOLOGIES SL;1
538;ALBERT-LUDWIGS-UNIVERSITAET FREIBURG;20
539;ALBERTINEN-KRANKENHAUS/ALBERTINEN-HAUS GEMEINNUTZIGE GMBH;1
540;ALBRECHTCONSULT GMBH;1
541;ALBUFERA ENERGY STORAGE SL;1
542;ALBYN MEDICAL, S.L.;1
543;ALCATEL-LUCENT DEUTSCHLAND AG;11
544;ALCATEL-LUCENT ISRAEL LTD;3
545;ALCATEL-LUCENT ITALIA S.P.A.;2
546;ALCATEL - LUCENT BELL LABS FRANCE;5
547;Alcatel Lucent Ireland Limited;2
548;ALCATEL LUCENT TELECOM LIMITED;1
549;ALCEA FRANCE EURL A CAPITAL VARIABLE;1
550;ALCYOMICS LTD;1
551;ALDEBARAN ROBOTICS SAS;3
552;ALE HEAVYLIFT (R&D) BV;2
553;ALEKON CARGO OSAUHING;1
554;ALEKSANDRO STULGINSKIO UNIVERSITETAS;4
555;ALENIA AERMACCHI SPA;2
556;ALEPH SRL;1
557;Alessandro Bassi Consulting SARL;1
558;ALESTIS CONSULTING SL;1
559;Alexander Technological Educational Institute of Thessaloniki (TECHNOLOGIKO EKPAIDEFTIKO IDRYMA THESSALONIKIS);1
560;ALEXANDRA INSTITUTTET A/S;1
561;ALEXIANER ST. HEDWIG KLINIKEN BERLIN GMBH;1
562;ALFA LAVAL COPENHAGEN A/S;1
563;ALFA LAVAL TUMBA AB;1
564;ALFA PRECISION CASTING SA;1
565;ALFANORM TASARIM MIMARLIK MUHENDISLIK LIMITED SIRKETI;1
566;ALFRED-WEGENER-INSTITUT HELMHOLTZ- ZENTRUM FUER POLAR- UND MEERESFORSCHUNG;14
567;ALFSTORE SAS;1
568;ALG;2
569;ALGAENERGY SA;1
570;ALGAMA SAS;1
571;ALGEN, CENTER ZA ALGNE TEHNOLOGIJE, DOO;1
572;ALGING AMBIENTACIONES SL;1
573;ALGOE;1
574;ALGOLION LTD;1
575;ALGONESIA TECHNOLOGIES;1
576;ALGORITHMICA SRL;1
577;ALIARA AGRÍCOLA SL;2
578;ALIMERKA SA;1
579;ALKE SRL;2
580;ALL-CHINA ENVIRONMENT FEDERATION;1
581;ALL-IN-IMAGE LTD;1
582;ALL-RUSSIAN RESEARCH INSTITUTE OF HYDROMETEOROLOGICAL INFORMATION-WORLD DATA CENTRE;1
583;All European Academies;1
584;ALLEANZA CONTRO IL CANCRO;1
585;ALLERTEC HELLAS SA;1
586;ALLGAUER UBERLANDWERK GMBH;1
587;ALLIA LTD;1
588;ALLIANCE POUR LES TECHNOLOGIES DE L'INFORMATIQUE;1
589;ALLIANCE POUR REFONDER LA GOUVERNANCE EN AFRIQUE ARGA;1
590;ALLIANCE SERVICES PLUS;1
591;ALLIANCEBERNSTEIN LIMITED;1
592;ALLIANZ  CLIMATE SOLUTIONS GmbH;1
593;ALLINEA SOFTWARE LIMITED;5
594;ALLOGEN BIOTECH LIMITED;1
595;ALLPLAN GMBH;1
596;ALLTOX S.R.L.;1
597;ALMA MATER STUDIORUM - UNIVERSITA DI BOLOGNA;67
598;ALMA SEGES SOCIETA COOPERATIVA;1
599;ALMA SISTEMI SAS DI DI IORIO ALESSIO & C;2
600;ALMADESIGN CONCEITO E DESENVOLVIMENTO DE DESIGN LDA;1
601;ALMAVIVA - THE ITALIAN INNOVATION COMPANY SPA;1
602;ALMENDE B.V.;2
603;ALMI FOERETAGSPARTNER KRONOBERG AKTIEBOLAG;1
604;ALMI FORETAGSPARTNER JONKOPING AB;1
605;ALMI FORETAGSPARTNER MALARDALEN AB;1
606;ALMI FORETAGSPARTNER MITT AB;1
607;ALONSO HERNANDEZ & ASOCIADOS ARQUITECTOS SL;1
608;ALOSYS COMMUNICATIONS SRL;1
609;ALOUMINION TIS ELLADOS VIOMICHANIKI KAI EMPORIKI ANONYMOS ETAIREIA VEAE;1
610;ALPES LASERS SA;1
611;ALPEX TECHNOLOGIES GMBH;1
612;ALPHA BIORESEARCH SL;1
613;ALPHA CONSULTANTS (UK) LTD;3
614;ALPHA CONSULTANTS S.R.L.;1
615;ALPHA CONSULTING SERVICE SRL;1
616;ALPHA PROGETTI SRL;1
617;ALPHAFILM & KOMMUNIKATION APS;2
618;ALPHAGEOMEGA;1
619;ALPHASENSE OY;1
620;ALPHEEIS SAS;1
621;ALPWISE;1
622;ALREH MEDICAL SP ZOO;1
623;ALS MARINE CONSULTANTS LTD;2
624;ALSACE INNOVATION;1
625;ALSITEK LIMITED;1
626;ALSTOM BELGIUM SA;1
627;ALSTOM FERROVIARIA SPA;1
628;ALSTOM GRID UK LIMITED;1
629;ALSTOM INSPECTION ROBOTICS AG;2
630;ALSTOM POWER LTD;1
631;ALSTOM POWER SYSTEMS;2
632;ALSTOM RENEWABLE (SCHWEIZ) AG;1
633;ALSTOM TRANSPORT S.A.;3
634;ALSTOM TRANSPORTE SA;1
635;ALTA RICERCA E SVILUPPO IN BIOTECNOLOGIE SRLU;2
636;ALTAIS CARTOGRAFIA Y URBANISMO SL;1
637;ALTAMIRA INFORMATION SL;1
638;ALTE VISETEC OY;1
639;ALTEK EUROPE LIMITED;1
640;ALTEN NEDERLAND BV;1
641;ALTEN SVERIGE AKTIEBOLAG;2
642;ALTERIX LTD;1
643;Alternative Energy Innovations SL.;1
644;ALTICE LABS SA;6
645;ALTO TREVIGIANO SERVIZI SRL;1
646;ALTRAN INNOVACION SL;1
647;ALTRAN TECHNOLOGIES S.A.;1
648;ALTRATECH LIMITED;1
649;Alu Group S.L.;2
650;ALUMINIUM PECHINEY;1
651;ALVARION TECHNOLOGIES LTD;1
652;Alveus l.l.c.;2
653;ALZHEIMER EUROPE;2
654;AMA ROMANIA SRL;1
655;AMADEUS IT GROUP SA;3
656;AMALYST LIMITED;1
657;AMANUENSIS GMBH;2
658;Ambiente Italia s.r.l.;4
659;AMBISALUD CALIDAD AMBIENTAL SL;1
660;Ambulance and Emergency Physicians Association;1
661;AMBULANCE TODAY LTD;1
662;AMC CHEMICALS SL;1
663;AMCC DEUTSCHLAND GMBH;1
664;AMDL SRL;1
665;AMEC FOSTER WHEELER ENERGY LIMITED;1
666;AMEC FOSTER WHEELER ITALIANA SRL;1
667;AMEC FOSTER WHEELER NUCLEAR UK LIMITED;2
668;AMEN TECHNOLOGIES;1
669;AMER SPORTS OYJ;1
670;AMERICAN COMPUTERS AND ENGINEERS HELLAS SA;1
671;AMERICAN GEOLOGICAL INSTITUTE;1
672;AMERICAN SYSTEMS SP. ZOO;1
673;American University of Beirut;2
674;Amerikaniko Kollegio Anatolia;1
675;AMEZEN;1
676;AMIRES SRO;4
677;AMMINEX EMISSIONS TECHNOLOGY AS;1
678;AMONETA DIAGNOSTICS;1
679;AMORPH SYSTEMS GMBH;3
680;AMPHERA BV;1
681;AMPHINICY DOO ZA RACUNALNE AKTIVNOSTI I ZASTUPANJE;1
682;AMPHOS 21 CONSULTING SL;3
683;AMPIDO GMBH;1
684;AMPLITUDE SYSTEMES SA;1
685;AMPLITUDE TECHNOLOGIES SA;1
686;AMPRION GMBH;1
687;AMPYX POWER BV;2
688;AMRA - ANALISI E MONITORAGGIO DEL RISCHIO AMBIENTALE SCARL;3
689;AMS AG;8
690;AMS NETHERLANDS B.V.;1
691;AMSTERDAM SCIENTIFIC INSTRUMENTS BV;1
692;AMV DESIGN SRL;1
693;AN-NAJAH NATIONAL UNIVERSITY;1
694;AN GARDA SIOCHANA;1
695;AN TUDARAS UM ARD OIDEACHAS;2
696;ANADOLU UNIVERSITY;4
697;ANALISTAS FINANCIEROS INTERNACIONALES SA;2
698;AnalytiCon Discovery GmbH;1
699;ANANDA PHARMA GMBH;1
700;ANAPTIXIAKI ANONIMI ETAIRIA DIACHIRISIS APORRIMATON ANOTILIKIS MAKEDONIAS-THRAKIS AE - DIAAMATH;1
701;ANAPTYKSIAKH BOLOY ANAPTYKSIAKH ANONYMH ETAIRIA (AE);1
702;ANAPTYXIAKI ETAIREIA DYTIKIS MAKEDONIAS;1
703;ANAPTYXIAKI KARDITSAS ANAPTYXIAKI ANONIMI ETAIRIA O.T.A;1
704;ANAS SPA;1
705;ANAXSYS TECHNOLOGY LIMITED;1
706;ANCITEL ENERGIA E AMBIENTE SPA;1
707;ANCITEL SPA;1
708;ANDERLINI MECCANICA SRL;1
709;ANDERSEN NIELS PETER SKOV;1
710;ANDOR TECHNOLOGY LIMITED;2
711;ANDOYA SPACE CENTER AS;2
712;ANDRIES GEERSE STEDENBOUWKUNDIGE BV;1
713;ANDRIESSEN CORNELIS CHRISTIAAN JACOB;1
714;ANDRITZ AG;1
715;ANDRITZ OY;1
716;ANER SISTEMAS INFORMATICOS SL;1
717;ANERDGY AG;1
718;ANGEL CONSULTING SAS DI MATTEO ZANOTTI RUSSO & C;1
719;ANGEL IGLESIAS S.A. - IKUSI;1
720;ANGEL RUIZ IBANEZ S.A.;1
721;ANGIOTARGET BV;1
722;ANGLIA RUSKIN UNIVERSITY HIGHER EDUCATION CORPORATION;6
723;ANHUI AGRICULTURAL UNIVERSITY;1
724;ANI - AGENCIA NACIONAL DE INOVACAO, SA;2
725;ANIGMOTEH PODJETJE ZA RAZISKAVE IN RAZVOJ DOO;1
726;Animal Vegetable Mineral Limited;1
727;ANKARA BUYUKSEHIR BELEDIYE BASKANLIGINA;1
728;ANKARA SANAYI ODASI;1
729;ANKARA SOSYAL BILIMLER UNIVERSITESI;1
730;ANKARA UNIVERSITESI;1
731;ANOIKTO PANEPISTIMIO KYPROU (OPEN UNIVERSITY OF CYPRUS);1
732;Anonimi Etairia Erevnas, Kainotomias kai Anaptiksis Tilematikis Texnologias - VIDAVO A.E.;1
733;ANONYMI ETAIREIA VIOMICHANIKIS EREVNAS, TECHNOLOGIKIS ANAPTYXIS KAI ERGASTIRIAKON DOKIMON, PISTOPIISIS KAI PIOTITAS;3
734;ANSALDO STS S.p.A.;5
735;ANSALDOBREDA S.P.A.;1
736;ANSUR TECHNOLOGIES AS;2
737;ANSWARETECH SL;3
738;ANSYS FRANCE SAS;2
739;ANTALYA TEKNOKENT YONETICI VE ISLETICI ANOMIM SIRKETI;1
740;ANTALYA TICARET VE SANAYI ODAS;1
741;ANTARES SOCIETA CONSORTILE ARL;1
742;ANTEA BELGIUM;1
743;ANTEA SRL;1
744;ANTERAL SL;1
745;ANTERYON BV;3
746;ANTEVERTI CONSULTING SL;1
747;ANTHESIS (UK) LIMITED;1
748;ANTHONY, PATRICK & MURTA-EXPORTACAO LDA;1
749;ANTI CANCER COUNCIL OF VICTORIA;1
750;ANTIBIOTX APS;1
751;ANTIBODIES FOR RESEARCH APPLICATIONS BV;1
752;Antmicro Sp. z o. o.;1
753;ANTONIO ABREU METALOMECANICA,LDA.;1
754;ANTPROJECT TVIP SL;1
755;ANTROPOLOGERNE APS;1
756;ANTWERP MANAGEMENT SCHOOL;1
757;ANVIL SEMICONDUCTORS LTD;1
758;ANVO-SYSTEMS DRESDEN GMBH;1
759;AnyBody Technology A/S;1
760;ANYSOLUTION SL;1
761;AO-FORSCHUNGSINSTITUT DAVOS;1
762;AON SPA INSURANCE & REINSURANCE BROKERS;2
763;AON UK LIMITED;1
764;APA-IT INFORMATIONS TECHNOLOGIE GMBH;1
765;APEIRON SYNTHESIS SPOLKA AKCYJNA;1
766;APERILINK LIMITED;1
767;APERTUS - ASSOCIATION SUPPORTING OPEN AND FREE AUDIOVISUAL MEDIA AND TECHNOLOGY;1
768;APFUTURA INTERNACIONAL SOLUCIONES SL;1
769;APHOI KOUMANAKOU & SIA EE;1
770;Apierian Limited;1
771;APIOSOFT APS;1
772;APIS HRISTOVICH EOOD;1
773;APIVITA KALLYNTIKA DIAITITIKA FARMAKA ANONYMI EMPORIKI KAI VIOTECHNIKIETAIREIA;3
774;APIZEE;1
775;APLCOMP OY;1
776;APLICACIONS DE LA CATALISI SL;1
777;APLINKOS APSAUGOS AGENTURA;1
778;APLINKOSAUGOS VALDYMO IR TECHNOLOGIJU CENTRAS VIESOJI ISTAIGA;1
779;APO-PHARMA INC CORP;1
780;APOGEE INFORMATION SYSTEMS;1
781;APOLLON SOLAR;1
782;APPART AE NEW TECHNOLOGIES COMPUTER AND TELECOMMUNICATIONS;1
783;APPEAR NETWORKS SYSTEMS AB;1
784;APPLICATIONS DES SCIENCES DE L'ACTION;1
785;APPLIED COMPUTING & ENGINEERING LIMITED;1
786;APPLIED INDUSTRIAL TECHNOLOGIES LTD;1
787;APPLIED INSPECTION LTD;1
788;APPLIED INTELLIGENCE ANALYTICS LIMITED;2
789;APPLIED MATERIALS BELGIUM;1
790;APPLIED MATERIALS FRANCE;2
791;APPLIED MATERIALS GMBH & CO KG;1
792;APPLIED MATERIALS ISRAEL LTD;3
793;APPLIED MATERIALS ITALIA SRL;1
794;APPLIED MATHS NV;1
795;APPLIED NANO SURFACES SWEDEN AB;1
796;APPLIED NANOPARTICLES SL;1
797;APPLIED RESEARCH AND COMMUNICATIONS FUND;6
798;APPLIED RESEARCH INSTITUTE JERUSALEM ASSOCIATION;1
799;APPLIED SECURITY GMBH;1
800;APPLIX EDUCATION S.R.L.;1
801;APPSBUILDER SPA;1
802;APR SRL;1
803;APR TECHNOLOGIES AB;1
804;APRIA SYSTEMS S.L.;2
805;APS AQUA PLANT SOLUTIONS GMBH;1
806;APTA BIOSCIENCES LIMITED;1
807;APTAIT GMBH;1
808;APTUIT (VERONA) SRL;1
809;AQANAT LIMITED;1
810;AQUA-CONSULT INGENIEROS, S.L.;1
811;AQUA SOLUTIONS LTD;1
812;AQUABIOTECH LIMITED;3
813;Aquablast Ltd;1
814;AQUACULTURE STEWARDSHIP COUNCIL;1
815;AQUAFARM EQUIPMENT AS;1
816;AQUAFIN N.V.;1
817;AQUALLIGENCE LIMITED;2
818;AQUAMARINE POWER LIMITED;1
819;AQUAPORIN AS;1
820;AQUAPROIECT SA;1
821;AQUASONIC SL;1
822;AQUASTILL BV;1
823;AQUATEC PROYECTOS PARA EL SECTOR DEL AGUA SA;2
824;AQUATERA LIMITED;2
825;AquaTT UETP Ltd;6
826;AQUILA BIOMEDICAL LIMITED;1
827;AQUIMER;1
828;AQUISENSE TECHNOLOGIES (EUROPE) LIMITED;1
829;AQUITAINE DEVELOPPEMENT INNOVATION;3
830;AQUOBEX LTD;1
831;AR DIAGNOSTIC TECNOLOGIAS DE MONITORIZACAO E CONTROLO DO AR LDA;2
832;ARAB INSTITUTE OF NAVIGATION;1
833;ARAB STATES RESEARCH AND EDUCATION NETWORK ASREN GEMEINNUTZIGE GMBH;1
834;ARAB STUDIES INSTITUTE - RESEARCH AND EDUCATION METHODOLOGIES;1
835;ARAMA KURTARMA DERNEGI (AKUT);1
836;ARANYPONTY HALASZATI ZRT;1
837;ARATANA THERAPEUTICS NV;2
838;ARATOS ANONYMOS ETERIA ANAPTYXIS, PARAGOGIS & EMPORIAS PROIONTON PLIROFORIKIS & IPSILIS TECHNOLOGIAS (Aratos Technologies S.A.);1
839;ARAVA BUILDING AND DEVELOPMENT LTD;1
840;ARBEID & MILIEU VZW;1
841;ARBEITER-SAMARITER-BUND DEUTSCHLAND EV;1
842;ARBEITSGEMEINSCHAFT - ERNEUERBARE ENERGIE - INSTITUT FUR NACHHALTIGE TECHNOLOGIEN;3
843;Arbeitsgemeinschaft ASEW c/o VKU;1
844;ARC - CENTRO RICERCHE APPLICATE;2
845;ARC CONSULTING EOOD;2
846;ARCA 2010 SOCIETA COOPERATIVA A RL;1
847;ARCADIS DEUTSCHLAND GMBH ADE;1
848;ARCADIS NEDERLAND BV;2
849;ARCAM AB;1
850;ARCELIK A.S.;5
851;ARCELORMITTAL BELGIUM NV;2
852;ARCELORMITTAL ESPANA SA;1
853;ARCELORMITTAL INNOVACION INVESTIGACION E INVERSION SL;1
854;ARCELORMITTAL MAIZIERES RESEARCH SA;4
855;ARCELORMITTAL SESTAO SL;1
856;ARCESE TRASPORTI SPA;1
857;ARCHE CVBA;1
858;ARCHE NOAH SCHAUGARTEN GMBH;1
859;ARCHEIA TAINION TIS ELLADOS TAINIOTHIKI TIS ELLADOS;1
860;ARCHEOLOGIE ANDENNAISE;1
861;ARCHIGROUP SRL;1
862;ARCHIMEDE RICERCHE SRL;1
863;ARCHIMEDE SOLAR ENERGY SRL;1
864;ARCHIMEDE SOLUTIONS SARL;1
865;ARCHIMHDHS KENTRON KAINOTOMIAS KAIDIMIOURGIAS ARCHIMEDES CENTER FOR INNOVATION AND CREATION;1
866;ARCHITECTENBUREAU BRESSERS;1
867;ARCHITECTURE ET CONCEPTION DE SYSTEMES AVANCES;1
868;ARCHITEKTONIKA STUDIO DRUZHESTVO S OGRANICHENA OTGOVORNOS;1
869;ARCHON TECHNOLOGIES SRLS;1
870;ARCINIEGAS LOPEZ GUSTAVO;1
871;ARCOPTIX SA;1
872;Arctic Monitoring and Assessment Programme Secretariat;1
873;ArcticZymes AS;1
874;ARCTIK SPRL;3
875;ARCTUR RACUNALNISKI INZENIRING DOO;4
876;ARCTUS METAL EHF;1
877;Ardag Cooperative Agricultural Society Ltd;1
878;ARDEJE SARL;1
879;ARDEN ENERGY LIMITED;1
880;ARDIEKIN, S.L.;1
881;ARDITI - AGENCIA REGIONAL PARA O DESENVOLVIMENTO DA INVESTIGACAO, TECNOLOGIA E INOVACAO - ASSOCIACAO;1
882;ARDUINO SA;1
883;AREA METROPOLITANA DE BARCELONA;1
884;ARELEC;1
885;ARENE;1
886;AREVA ENERGIES RENOUVELABLES;1
887;AREVA GMBH;2
888;AREVA H2GEN;1
889;AREVA NC SA;1
890;AREVA NP SAS;5
891;ARGANS LIMITED;1
892;ARGAS AVTOMATSKO ROCNI GASILNI SISTEMI D.O.O;1
893;ARGE BILDUNGSMANAGEMENT GMBH;1
894;ARGE KOMPOST UND BIOGAS OSTERREICH VEREIN;1
895;ARGEDOR BILISIM TEKNOLOJILERI SANAYI VE TICARET LIMITED SIRKETI;1
896;ARGEN-X;1
897;ARGITEK SRL;1
898;ARGUS ADDITIVE PLASTICS GMBH;1
899;ARGUS Umweltbiotechnologie GmbH;1
900;ARHS DEVELOPMENTS SA;1
901;ARHUS KOMMUNE;1
902;ARIA TECHNOLOGIES SA;1
903;ARIDHIA INFORMATICS LIMITED;1
904;ARIES-AZIENDA SPECIALE DELLA CAMERA DI COMMERCIO I.A.A. DI TRIESTE;1
905;Aries srl;1
906;ARIESPACE SRL;1
907;ARIMA SOFTWARE DESIGN SLL;1
908;ARIOSZ SZOLGALTATO INFORMATIKAI ESTANACSADO KORLATOLT FELELOSSEGU TARSASAG;1
909;ARISTOTELIO PANEPISTIMIO THESSALONIKIS;38
910;ARIVIS AG;3
911;Arizona Board of Regents;1
912;ARJOHUNTLEIGH AB;1
913;ARK FOUNDATION;1
914;ARKEMA FRANCE SA;11
915;ARKEN SPA;1
916;ARLUY SL;1
917;ARM LIMITED;7
918;ARMATIX GMBH;1
919;ARMENGOL & ROS CONSULTORS I ASSOCIATS;1
920;ARN HOLDING BV;1
921;ARNE JENSEN AB;1
922;AROCELL AB (PUBL);1
923;AROSS 3D GMBH;1
924;ARQUIMEA INGENIERIA S.L;4
925;ARRALIS LTD;1
926;ARRIVA LITAS DOO POZAREVAC;1
927;ARS AMBIENTE SRL;1
928;ARS ELECTRONICA LINZ GMBH;1
929;ARS LAB UAB;1
930;ARS MEDIA SRL;1
931;Arsanis Biosciences, GmbH;1
932;ARSYS INTERNET S.L.;1
933;ART OF TECHNOLOGY AG;1
934;ARTAIC LTD;1
935;ARTE - AZIENDA REGIONALE TERRITORIALE PER EDILIZIA;1
936;ARTEEVO TECHNOLOGIES LTD;1
937;ARTEFICE SRL;1
938;ARTEG BV;1
939;ARTELIA EAU ET ENVIRONNEMENT SAS;1
940;ARTEMIS ONE HEALTH RESEARCH BV;1
941;ARTEMISIA VERENIGING;1
942;ARTERRIS INNOVATION;1
943;ARTHUR'S LEGAL BV;1
944;ARTIA NANO - ENGINEERING & CONSULTING IKE;3
945;ARTICA TELEMEDICINA S.L.;1
946;ARTIFICIAL INTELLIGENCE TECHNIQUES SL;1
947;ARTINVET INNOVATIVE THERAPIES SL;1
948;ARTIS GMBH;1
949;ARTSEN ZONDER GRENZEN (MEDECINS SANS FRONTIERES NEDERLAND) VERENIGING;1
950;ARTSHARE INVESTIGACAO TECNOLOGIA EARTE LDA;1
951;ARTTIC;15
952;ARTYS SRL;1
953;ARUP BV;1
954;ARWORKS KORLATOLT FELELOSSEGU TARSASAG;1
955;ARXES-TOLINA GMBH;1
956;ARYAVARTA SPACE ORGANIZATION;1
957;AS CYPRUS COLLEGE LIMITED;4
958;AS EESTI TELEKOM;1
959;AS FORTUM TARTU;1
960;AS REGIO;1
961;ASCATRON AB;1
962;ASCENDING TECHNOLOGIES GMBH;1
963;ASCIDEA COMPUTATIONAL BIOLOGY SOLUTIONS SL;1
964;ASCOMP GmbH;1
965;ASCORA GMBH;3
966;ASELTA NANOGRAPHICS SA;1
967;Ashe Morris Ltd;1
968;ASHLEIGH FARMS (ENVIRONMENTAL) LIMITED;1
969;ASIAN VEGETABLE RESEARCH AND DEVELOPMENT CENTER;2
970;ASISTEL DOO BEOGRAD;1
971;ASK-M MUSZERTERVEZO GYARTO ES SZOLGALTATO KORLATOLT FELELOSSEGU TARSAS AS;1
972;ASK COMMUNITY SYSTEMS BV;1
973;Askion GmbH;1
974;ASKLEPIOS KLINIK ALSBACH GMBH;1
975;ASL TO5;1
976;ASLOGIC 2011, S.L.;2
977;ASM BELGIUM NV;2
978;ASM CENTRUM BADAN I ANALIZ RYNKU SP. Z O O;4
979;ASM EUROPE BV;2
980;ASM TERNI SPA;3
981;ASML NETHERLANDS B.V.;3
982;Asociación para la Investigación y Desarrollo Industrial de los Recursos Naturales;1
983;ASOCIACIJA ZINIU EKONOMIXOS FORUMAS;1
984;Asociacion - Centro de Investigacion Cooperativa en Nanociencias - CIC NANOGUNE;6
985;ASOCIACION AGRARIA DE JOVENES AGRICULTORES ALTO ARAGON;1
986;ASOCIACION AGRARIA JOVENES AGRICULTORES-ASAJA GALICIA;1
987;ASOCIACION BC3 BASQUE CENTRE FOR CLIMATE CHANGE - KLIMA ALDAKETA IKERGAI;8
988;ASOCIACION CENTRO DE EXCELENCIA INTERNACIONAL EN INVESTIGACION SOBRE CRONICIDAD;1
989;ASOCIACION CENTRO DE INVESTIGACION COOPERATIVA EN BIOCIENCIAS;5
990;ASOCIACION CENTRO DE INVESTIGACION COOPERATIVA EN BIOMATERIALES- CIC biomaGUNE;9
991;ASOCIACION CENTRO EUROPEO DE EMPRESAS E INNOVACION DEL PRINCIPADO DE ASTURIAS;1
992;ASOCIACION CENTRO TECNOLOGICO CEIT-IK4;7
993;ASOCIACION CHAMBERI VALLEY;1
994;ASOCIACION CLUSTER DE INDUSTRIAS DEMEDIO AMBIENTE DE EUSKADI;1
995;ASOCIACION CLUSTER DE MOVILIDAD Y LOGISTICA DE EUSKADI;2
996;ASOCIACION CLUSTER FOOD+I;2
997;ASOCIACION DE AGENCIAS ESPANOLAS DE GESTION DE LA ENERGIA;1
998;ASOCIACION DE EMPRESARIOS DEL COMERCIO E INDUSTRIA DEL METAL DE MADRID;3
999;ASOCIACION DE EMPRESARIOS DEL HENARES;2
1000;ASOCIACION DE EMPRESARIOS TEXTILES DE LA REGION VALENCIANA;1
1001;ASOCIACION DE EMPRESAS FORESTALES Y PAISAJISTICAS DE ANDALUCIA;1
1002;ASOCIACION DE EMPRESAS TECNOLOGICAS INNOVALIA;3
1003;ASOCIACION DE FAMILIARES Y AMIGOS DE PERSONAS CON DISCAPACIDAD DE LA UNIVERSIDAD COMPLUTENSE DE MADRID (AFADIS UCM);1
1004;ASOCIACION DE INVESTIGACION DE LA INDUSTRIA DEL JUGUETE, CONEXAS Y AFINES;2
1005;ASOCIACION DE INVESTIGACION DE LASINDUSTRIAS CERAMICAS AICE;2
1006;ASOCIACION DE INVESTIGACION METALURGICA DEL NOROESTE;8
1007;ASOCIACION DE INVESTIGACION PARA LA MEJORA DEL CULTIVO DE LA REMOLACHA AZUCARERA;1
1008;ASOCIACION DE LA INDUSTRIA NAVARRA;4
1009;ASOCIACION DE MAYORISTAS DE PESCADOS DEL PRINCIPADO DE ASTURIAS;1
1010;ASOCIACION DE USUARIOS DE INTERNET;1
1011;ASOCIACION ECOSERVEIS;4
1012;ASOCIACION ESPAÑOLA DE NORMALIZACION Y CERTIFICACION;9
1013;ASOCIACION ESPANOLA DE CRIADORES DE CERDO IBERICO;1
1014;ASOCIACION ESPANOLA DE CRIADORES DEOVINO SELECTO DE RAZA LACAUNE-AESLA;1
1015;ASOCIACION ESPANOLA DE FABRICANTES DE EQUIPOS Y COMPONENTES PARA AUTOMOCION;1
1016;ASOCIACION ESPANOLA DE LA VALORIZACION ENERGETICA DE LA BIOMASA;1
1017;ASOCIACION FERAGUA DE COMUNIDADES DE REGANTES DE ANDALUCIA;1
1018;ASOCIACION GITANA DE MUJERES DROM KOTAR MESTIPEN DE BARCELONA;1
1019;ASOCIACION HOTELERA Y EXTRAHOTELERA DE TENERIFE LA PALMA LA GOMERA Y EL HIERRO;1
1020;ASOCIACION INSTITUTO TECNOLOGICO DE LA ENERGIA;1
1021;ASOCIACION INTERNACIONAL DE PARQUES TECNOLOGICOS IASP;1
1022;ASOCIACION MADRID PLATAFORMA AERONAUTICA Y DEL ESPACIO - MPAE;1
1023;Asociacion Nacional de Criadores de Ganado Ovino Selecto de Raza Manchega;1
1024;ASOCIACION NACIONAL DE EMPRESAS DE SERVICIOS ENERGETICOS ANESE;1
1025;ASOCIACION NACIONAL DE FABRICANTES DE BIENES DE EQUIPO;1
1026;ASOCIACION PARA EL ESTUDIO Y MEJORADE LOS SALMONIDOS AEMS;1
